"Submission ID","Respondent ID","Submitted at","version","institution","program","Institution Name","Program","PGY year?","Are you registered to vote in the same state as your institution?","In which state are you registered?","Did you vote in the 2022 Midterm Election?","What reasons contributed to your decision not to vote?
(Select all that apply)","What reasons contributed to your decision not to vote?
(Select all that apply) (I am unsure how to register to vote, if I am registered, or where I am registered)","What reasons contributed to your decision not to vote?
(Select all that apply) (I am not sure how to request a mail-in ballot or what the deadlines for submission are)","What reasons contributed to your decision not to vote?
(Select all that apply) (I don't know about the candidates or issues where I am registered)","What reasons contributed to your decision not to vote?
(Select all that apply) (I don't care about the outcome of the election or hold strong political beliefs)","What reasons contributed to your decision not to vote?
(Select all that apply) (I don't want to vote)","What reasons contributed to your decision not to vote?
(Select all that apply) (I want to vote, but I am too busy )","What reasons contributed to your decision not to vote?
(Select all that apply) (There is no way to leave work for long enough time to vote)","What reasons contributed to your decision not to vote?
(Select all that apply) (Other)","Please describe...","Does your program do anything to encourage resident voting?","Please describe"
"GeBjMj","0QaGly","2022-11-12 21:40:05","private","columbia","gen_surg",,,"PGY1","Yes",,"No","I am not sure how to request a mail-in ballot or what the deadlines for submission are, I don't know about the candidates or issues where I am registered",false,true,true,false,false,false,false,false,,"I'm not sure",
"bZ4Xe6","2E7VGA","2022-11-12 21:56:51","private","columbia","gen_surg",,,"PGY4","No","New Jersey (NJ)","No","I am not sure how to request a mail-in ballot or what the deadlines for submission are, There is no way to leave work for long enough time to vote, I want to vote, but I am too busy ",false,true,false,false,false,true,true,false,,"No",
"1W2zV1","zxLg68","2022-11-12 22:00:51","private","columbia","gen_surg",,,"Research Resident","No","New Jersey (NJ)","Yes",,,,,,,,,,,"No",
"2jxzrj","obvgJM","2022-11-12 22:07:44","private","columbia","gen_surg",,,"PGY3","Yes",,"No","I am not sure how to request a mail-in ballot or what the deadlines for submission are, I want to vote, but I am too busy , I don't know about the candidates or issues where I am registered, There is no way to leave work for long enough time to vote",false,true,true,false,false,true,true,false,,"No",
"J1kbLo","1A6O84","2022-11-12 22:10:24","private","columbia","gen_surg",,,"PGY5","I am not sure",,"No","I am unsure how to register to vote, if I am registered, or where I am registered, I am not sure how to request a mail-in ballot or what the deadlines for submission are, There is no way to leave work for long enough time to vote",true,true,false,false,false,false,true,false,,"I'm not sure",
"xV01gJ","dWz6vq","2022-11-14 17:25:01","private","columbia","gen_surg",,,"PGY3","Yes",,"Yes",,,,,,,,,,,"No",
"4a1yEo","ODEzk7","2022-11-14 17:25:08","private","columbia","gen_surg",,,"PGY1","No","California (CA)","No","I don't care about the outcome of the election or hold strong political beliefs",false,false,false,true,false,false,false,false,,"No",
"Z9GKWv","Ek6XMX","2022-11-14 17:25:10","private","columbia","gen_surg",,,"PGY2","Yes",,"Yes",,,,,,,,,,,"Yes","Assistant PD texted residents encouraging us to vote"
"WJeBGj","yP1686","2022-11-14 17:43:33","private","columbia","gen_surg",,,"PGY1","No","Pennsylvania (PA)","Yes",,,,,,,,,,,"I'm not sure",
"q5YXZ9","9q4dp5","2022-11-14 18:33:56","private","columbia","gen_surg",,,"PGY1","Yes",,"No","I want to vote, but I am too busy ",false,false,false,false,false,true,false,false,,"No",
